Using launch settings from C:\Users\krall\source\repos\aoc2022\src\Aoc2022\Properties\launchSettings.json...
✅ seams validated: all edges involutive.
WRAP: face 0 ((0, 50)) Up  abs=(0,59) local=(0,9)  -> face 5 ((150, 0)) newDir=Right  local'=(9,0) abs'=(159,0) cell='.'
WRAP: face 5 ((150, 0)) Left  abs=(156,0) local=(6,0)  -> face 0 ((0, 50)) newDir=Down  local'=(0,6) abs'=(0,56) cell='.'
WRAP: face 0 ((0, 50)) Up  abs=(0,57) local=(0,7)  -> face 5 ((150, 0)) newDir=Right  local'=(7,0) abs'=(157,0) cell='.'
WRAP: face 5 ((150, 0)) Left  abs=(156,0) local=(6,0)  -> face 0 ((0, 50)) newDir=Down  local'=(0,6) abs'=(0,56) cell='.'
WRAP: face 2 ((50, 50)) Left  abs=(68,50) local=(18,0)  -> face 3 ((100, 0)) newDir=Down  local'=(0,18) abs'=(100,18) cell='.'
WRAP: face 3 ((100, 0)) Up  abs=(100,26) local=(0,26)  -> face 2 ((50, 50)) newDir=Right  local'=(26,0) abs'=(76,50) cell='.'
WRAP: face 2 ((50, 50)) Left  abs=(77,50) local=(27,0)  -> face 3 ((100, 0)) newDir=Down  local'=(0,27) abs'=(100,27) cell='.'
WRAP: face 4 ((100, 50)) Down  abs=(149,69) local=(49,19)  -> face 5 ((150, 0)) newDir=Left  local'=(19,49) abs'=(169,49) cell='.'
WRAP: face 5 ((150, 0)) Left  abs=(156,0) local=(6,0)  -> face 0 ((0, 50)) newDir=Down  local'=(0,6) abs'=(0,56) cell='.'
WRAP: face 0 ((0, 50)) Up  abs=(0,59) local=(0,9)  -> face 5 ((150, 0)) newDir=Right  local'=(9,0) abs'=(159,0) cell='.'
WRAP: face 5 ((150, 0)) Left  abs=(161,0) local=(11,0)  -> face 0 ((0, 50)) newDir=Down  local'=(0,11) abs'=(0,61) cell='.'
WRAP: face 0 ((0, 50)) Up  abs=(0,69) local=(0,19)  -> face 5 ((150, 0)) newDir=Right  local'=(19,0) abs'=(169,0) cell='.'
WRAP: face 5 ((150, 0)) Left  abs=(189,0) local=(39,0)  -> face 0 ((0, 50)) newDir=Down  local'=(0,39) abs'=(0,89) cell='.'
WRAP: face 0 ((0, 50)) Up  abs=(0,90) local=(0,40)  -> face 5 ((150, 0)) newDir=Right  local'=(40,0) abs'=(190,0) cell='.'
WRAP: face 5 ((150, 0)) Right  abs=(193,49) local=(43,49)  -> face 4 ((100, 50)) newDir=Up  local'=(49,43) abs'=(149,93) cell='.'
WRAP: face 4 ((100, 50)) Right  abs=(126,99) local=(26,49)  -> face 1 ((0, 100)) newDir=Left  local'=(26,49) abs'=(26,149) cell='.'
WRAP: face 1 ((0, 100)) Right  abs=(23,149) local=(23,49)  -> face 4 ((100, 50)) newDir=Left  local'=(23,49) abs'=(123,99) cell='.'
WRAP: face 4 ((100, 50)) Right  abs=(140,99) local=(40,49)  -> face 1 ((0, 100)) newDir=Left  local'=(40,49) abs'=(40,149) cell='.'
WRAP: face 1 ((0, 100)) Down  abs=(49,144) local=(49,44)  -> face 2 ((50, 50)) newDir=Left  local'=(44,49) abs'=(94,99) cell='.'
WRAP: face 2 ((50, 50)) Right  abs=(93,99) local=(43,49)  -> face 1 ((0, 100)) newDir=Up  local'=(49,43) abs'=(49,143) cell='.'
WRAP: face 1 ((0, 100)) Down  abs=(49,148) local=(49,48)  -> face 2 ((50, 50)) newDir=Left  local'=(48,49) abs'=(98,99) cell='.'
WRAP: face 4 ((100, 50)) Right  abs=(102,99) local=(2,49)  -> face 1 ((0, 100)) newDir=Left  local'=(2,49) abs'=(2,149) cell='.'
WRAP: face 1 ((0, 100)) Right  abs=(20,149) local=(20,49)  -> face 4 ((100, 50)) newDir=Left  local'=(20,49) abs'=(120,99) cell='.'
WRAP: face 4 ((100, 50)) Down  abs=(149,74) local=(49,24)  -> face 5 ((150, 0)) newDir=Left  local'=(24,49) abs'=(174,49) cell='.'
